, Cidade da Pizzaria, Cidade 1, Cidade 2, Cidade 3, Cidade 4, Cidade 5, Cidade 6, Cidade 7, Cidade 8, Cidade 9, Cidade 10, Cidade 11, Cidade 12, Cidade 13, Cidade 14, Cidade 15, Cidade 16, Cidade 17, Cidade 18, Cidade 19, Cidade 20, Cidade 21, Cidade 22, Cidade 23, Cidade 24, Cidade 25, Cidade 26, Cidade 27, Cidade 28, Cidade 29, Cidade 30, Cidade 31, Cidade 32, Cidade 33, Cidade 34, Cidade 35, Cidade 36, Cidade 37, Cidade 38, Cidade 39, Cidade 40, Cidade 41, Cidade 42, Cidade 43, Cidade 44, Cidade 45, Cidade 46, Cidade 47, Cidade 48, Cidade 49, Cidade 50, Cidade 51, Cidade 52, Cidade 53, Cidade 54, Cidade 55, Cidade 56, Cidade 57, Cidade 58, Cidade 59, Cidade 60, Cidade 61, Cidade 62, Cidade 63, Cidade 64, Cidade 65, Cidade 66, Cidade 67, Cidade 68, Cidade 69, Cidade 70, Cidade 71, Cidade 72, Cidade 73, Cidade 74, Cidade 75, Cidade 76, Cidade 77, Cidade 78, Cidade 79, Cidade 80, Cidade 81, Cidade 82, Cidade 83, Cidade 84, Cidade 85, Cidade 86, Cidade 87, Cidade 88, Cidade 89, Cidade 90, Cidade 91, Cidade 92, Cidade 93, Cidade 94, Cidade 95, Cidade 96, Cidade 97, Cidade 98, Cidade 99, Cidade 100, 
Cidade da Pizzaria, 9.99,0.38,0.28,0.29,0.11,0.39,0.27,0.22,0.35,0.25,0.22,0.20,0.34,0.34,0.12,0.37,0.26,0.36,0.15,0.29,0.27,0.37,0.11,0.29,0.25,0.16,0.17,0.39,0.27,0.32,0.38,0.00,0.16,0.15,0.38,0.15,0.33,0.38,0.28,0.31,0.15,0.35,0.37,0.30,0.31,0.38,0.28,0.32,0.26,0.26,0.20,0.15,0.38,0.29,0.32,0.10,0.26,0.15,0.36,0.12,0.25,0.22,0.13,0.36,0.14,0.34,0.27,0.25,0.25,0.27,0.23,0.30,0.36,0.20,0.31,0.34,0.25,0.36,0.35,0.37,0.30,0.26,0.24,0.11,0.33,0.27,0.00,0.21,0.37,0.19,0.26,0.00,0.33,0.29,0.33,0.30,0.35,0.38,0.14,0.26,0.18
Cidade 1, 0.24,9.99,0.20,0.11,0.19,0.30,0.28,0.39,0.10,0.23,0.14,0.27,0.12,0.38,0.35,0.00,0.11,0.12,0.18,0.26,0.15,0.32,0.15,0.39,0.13,0.00,0.25,0.28,0.33,0.12,0.20,0.32,0.28,0.22,0.19,0.11,0.36,0.37,0.20,0.32,0.34,0.37,0.21,0.00,0.23,0.38,0.23,0.00,0.15,0.32,0.33,0.21,0.14,0.39,0.16,0.33,0.28,0.12,0.11,0.37,0.19,0.00,0.22,0.22,0.21,0.30,0.30,0.30,0.22,0.27,0.36,0.00,0.23,0.37,0.38,0.11,0.00,0.36,0.35,0.27,0.12,0.11,0.12,0.29,0.25,0.28,0.22,0.22,0.25,0.00,0.23,0.21,0.36,0.32,0.15,0.27,0.31,0.31,0.00,0.39,0.30
Cidade 2, 0.25,0.21,9.99,0.33,0.37,0.13,0.21,0.34,0.12,0.21,0.18,0.25,0.18,0.24,0.25,0.16,0.17,0.00,0.16,0.18,0.12,0.14,0.39,0.32,0.24,0.23,0.00,0.25,0.00,0.00,0.39,0.27,0.35,0.35,0.17,0.28,0.24,0.13,0.13,0.30,0.38,0.19,0.11,0.14,0.12,0.25,0.28,0.22,0.22,0.18,0.16,0.19,0.22,0.19,0.28,0.28,0.38,0.10,0.23,0.17,0.11,0.34,0.34,0.19,0.21,0.35,0.00,0.21,0.24,0.37,0.32,0.14,0.14,0.22,0.36,0.21,0.34,0.24,0.40,0.27,0.17,0.30,0.19,0.37,0.34,0.11,0.37,0.19,0.00,0.00,0.22,0.38,0.00,0.15,0.24,0.12,0.28,0.26,0.32,0.26,0.18
Cidade 3, 0.23,0.29,0.16,9.99,0.26,0.25,0.31,0.40,0.17,0.18,0.30,0.12,0.40,0.16,0.25,0.34,0.26,0.31,0.39,0.00,0.34,0.38,0.24,0.38,0.22,0.24,0.30,0.31,0.23,0.26,0.17,0.00,0.00,0.33,0.29,0.26,0.24,0.24,0.30,0.17,0.32,0.28,0.32,0.12,0.38,0.00,0.25,0.00,0.12,0.19,0.29,0.10,0.29,0.20,0.29,0.00,0.27,0.30,0.25,0.26,0.12,0.22,0.29,0.18,0.29,0.25,0.34,0.21,0.25,0.27,0.13,0.37,0.23,0.13,0.21,0.27,0.37,0.38,0.21,0.15,0.00,0.15,0.15,0.19,0.11,0.39,0.17,0.00,0.21,0.36,0.27,0.19,0.13,0.18,0.30,0.16,0.38,0.18,0.27,0.17,0.20
Cidade 4, 0.14,0.20,0.39,0.17,9.99,0.34,0.14,0.27,0.15,0.23,0.13,0.22,0.15,0.33,0.16,0.30,0.35,0.14,0.20,0.21,0.37,0.16,0.13,0.16,0.14,0.30,0.32,0.38,0.19,0.29,0.22,0.39,0.34,0.00,0.28,0.11,0.20,0.29,0.19,0.27,0.20,0.00,0.30,0.33,0.34,0.00,0.00,0.20,0.25,0.12,0.22,0.20,0.00,0.21,0.32,0.21,0.15,0.26,0.11,0.33,0.30,0.33,0.29,0.36,0.14,0.25,0.15,0.00,0.10,0.32,0.31,0.29,0.30,0.10,0.21,0.26,0.32,0.17,0.15,0.12,0.18,0.26,0.21,0.21,0.40,0.15,0.16,0.33,0.16,0.31,0.32,0.11,0.19,0.32,0.18,0.24,0.26,0.29,0.34,0.27,0.23
Cidade 5, 0.13,0.27,0.30,0.31,0.40,9.99,0.10,0.15,0.14,0.28,0.20,0.16,0.11,0.25,0.35,0.17,0.19,0.35,0.31,0.34,0.18,0.22,0.28,0.26,0.00,0.29,0.00,0.29,0.27,0.24,0.23,0.36,0.37,0.12,0.33,0.27,0.32,0.34,0.14,0.20,0.33,0.21,0.25,0.27,0.24,0.36,0.17,0.18,0.27,0.27,0.34,0.00,0.14,0.18,0.00,0.22,0.17,0.24,0.15,0.00,0.10,0.39,0.35,0.36,0.34,0.40,0.30,0.39,0.13,0.36,0.23,0.27,0.29,0.11,0.28,0.31,0.29,0.23,0.22,0.00,0.34,0.15,0.17,0.38,0.25,0.00,0.10,0.30,0.25,0.37,0.00,0.00,0.25,0.13,0.33,0.00,0.34,0.21,0.17,0.00,0.22
Cidade 6, 0.40,0.39,0.36,0.37,0.23,0.25,9.99,0.37,0.25,0.26,0.20,0.12,0.25,0.11,0.16,0.14,0.38,0.12,0.37,0.19,0.28,0.37,0.15,0.33,0.36,0.14,0.32,0.31,0.15,0.10,0.32,0.22,0.33,0.27,0.29,0.15,0.31,0.27,0.31,0.15,0.18,0.37,0.11,0.37,0.17,0.21,0.25,0.18,0.24,0.24,0.10,0.21,0.19,0.23,0.27,0.33,0.21,0.39,0.19,0.26,0.39,0.31,0.19,0.30,0.34,0.35,0.24,0.00,0.15,0.00,0.38,0.00,0.18,0.18,0.38,0.38,0.15,0.21,0.36,0.25,0.14,0.19,0.33,0.30,0.19,0.22,0.29,0.19,0.17,0.33,0.16,0.30,0.20,0.28,0.31,0.14,0.14,0.31,0.16,0.10,0.13
Cidade 7, 0.29,0.18,0.38,0.00,0.30,0.27,0.31,9.99,0.31,0.20,0.24,0.39,0.30,0.13,0.31,0.24,0.17,0.25,0.18,0.12,0.27,0.20,0.12,0.27,0.31,0.33,0.30,0.33,0.38,0.19,0.40,0.29,0.00,0.28,0.25,0.12,0.24,0.21,0.13,0.00,0.29,0.32,0.15,0.19,0.39,0.32,0.32,0.38,0.13,0.37,0.10,0.39,0.18,0.22,0.00,0.12,0.12,0.32,0.14,0.15,0.15,0.26,0.39,0.13,0.10,0.29,0.00,0.22,0.39,0.12,0.26,0.35,0.35,0.00,0.00,0.27,0.12,0.36,0.24,0.00,0.34,0.39,0.21,0.15,0.38,0.22,0.11,0.33,0.24,0.16,0.39,0.22,0.11,0.34,0.23,0.39,0.14,0.14,0.23,0.28,0.26
Cidade 8, 0.27,0.12,0.00,0.36,0.40,0.21,0.24,0.10,9.99,0.36,0.21,0.11,0.16,0.38,0.23,0.22,0.20,0.40,0.12,0.16,0.28,0.12,0.12,0.21,0.19,0.22,0.21,0.17,0.40,0.20,0.18,0.12,0.20,0.39,0.22,0.21,0.16,0.24,0.39,0.34,0.30,0.23,0.11,0.20,0.19,0.35,0.00,0.00,0.34,0.33,0.34,0.28,0.21,0.15,0.23,0.38,0.38,0.31,0.17,0.13,0.29,0.39,0.00,0.38,0.30,0.39,0.36,0.21,0.31,0.27,0.36,0.29,0.35,0.11,0.17,0.16,0.30,0.37,0.33,0.00,0.20,0.35,0.15,0.32,0.33,0.00,0.17,0.15,0.18,0.21,0.00,0.00,0.38,0.32,0.31,0.18,0.10,0.38,0.35,0.25,0.24
Cidade 9, 0.11,0.29,0.28,0.11,0.00,0.19,0.39,0.20,0.14,9.99,0.30,0.30,0.28,0.00,0.13,0.10,0.00,0.20,0.00,0.38,0.13,0.16,0.14,0.31,0.22,0.37,0.25,0.23,0.32,0.30,0.26,0.34,0.27,0.11,0.24,0.35,0.29,0.23,0.25,0.00,0.00,0.29,0.21,0.26,0.28,0.23,0.25,0.15,0.21,0.30,0.34,0.30,0.32,0.23,0.27,0.38,0.21,0.31,0.15,0.27,0.10,0.21,0.12,0.38,0.18,0.20,0.17,0.34,0.00,0.00,0.12,0.10,0.16,0.19,0.39,0.22,0.37,0.39,0.00,0.34,0.26,0.38,0.00,0.14,0.35,0.14,0.22,0.24,0.34,0.24,0.00,0.23,0.25,0.28,0.39,0.39,0.23,0.24,0.23,0.00,0.33
Cidade 10, 0.27,0.27,0.00,0.24,0.15,0.20,0.11,0.22,0.34,0.39,9.99,0.28,0.27,0.14,0.39,0.15,0.12,0.39,0.00,0.10,0.19,0.18,0.21,0.21,0.25,0.26,0.19,0.14,0.34,0.15,0.22,0.00,0.33,0.12,0.23,0.31,0.14,0.17,0.23,0.15,0.00,0.15,0.13,0.20,0.21,0.28,0.38,0.11,0.12,0.31,0.12,0.37,0.13,0.19,0.34,0.17,0.19,0.32,0.15,0.12,0.15,0.39,0.00,0.25,0.39,0.16,0.00,0.18,0.17,0.38,0.37,0.27,0.10,0.30,0.24,0.34,0.16,0.28,0.35,0.23,0.36,0.10,0.33,0.38,0.30,0.24,0.17,0.31,0.17,0.30,0.25,0.24,0.00,0.11,0.35,0.16,0.30,0.25,0.16,0.24,0.16
Cidade 11, 0.33,0.23,0.17,0.34,0.32,0.26,0.21,0.38,0.27,0.00,0.00,9.99,0.10,0.21,0.30,0.12,0.28,0.27,0.00,0.22,0.32,0.27,0.19,0.33,0.25,0.20,0.20,0.38,0.31,0.20,0.00,0.00,0.28,0.00,0.26,0.21,0.00,0.38,0.14,0.10,0.27,0.20,0.27,0.31,0.00,0.10,0.23,0.19,0.20,0.27,0.26,0.35,0.39,0.39,0.16,0.23,0.27,0.32,0.16,0.34,0.26,0.40,0.21,0.35,0.40,0.19,0.38,0.23,0.00,0.39,0.17,0.37,0.11,0.31,0.38,0.35,0.35,0.12,0.34,0.23,0.17,0.40,0.10,0.33,0.26,0.35,0.16,0.17,0.11,0.32,0.37,0.36,0.00,0.22,0.28,0.37,0.33,0.23,0.15,0.19,0.00
Cidade 12, 0.20,0.20,0.37,0.00,0.19,0.17,0.33,0.00,0.35,0.28,0.12,0.15,9.99,0.21,0.36,0.00,0.16,0.14,0.26,0.32,0.20,0.24,0.24,0.31,0.37,0.33,0.26,0.20,0.22,0.32,0.20,0.32,0.22,0.17,0.17,0.00,0.11,0.10,0.38,0.17,0.15,0.25,0.21,0.31,0.14,0.30,0.23,0.27,0.39,0.24,0.28,0.19,0.00,0.35,0.35,0.32,0.19,0.00,0.19,0.17,0.33,0.23,0.38,0.27,0.13,0.00,0.14,0.20,0.36,0.25,0.29,0.27,0.26,0.00,0.00,0.28,0.32,0.11,0.11,0.14,0.13,0.17,0.00,0.00,0.14,0.00,0.00,0.21,0.20,0.28,0.13,0.30,0.28,0.23,0.12,0.28,0.14,0.32,0.38,0.00,0.38
Cidade 13, 0.21,0.22,0.18,0.32,0.17,0.00,0.21,0.17,0.27,0.16,0.00,0.21,0.36,9.99,0.28,0.28,0.35,0.21,0.00,0.38,0.32,0.00,0.22,0.31,0.16,0.12,0.38,0.35,0.11,0.28,0.20,0.31,0.00,0.37,0.34,0.20,0.35,0.39,0.11,0.38,0.13,0.28,0.00,0.15,0.31,0.14,0.10,0.18,0.25,0.37,0.00,0.32,0.17,0.24,0.13,0.24,0.28,0.23,0.00,0.24,0.36,0.22,0.37,0.34,0.26,0.16,0.26,0.14,0.17,0.00,0.12,0.13,0.14,0.00,0.19,0.17,0.31,0.31,0.21,0.33,0.26,0.29,0.16,0.35,0.29,0.18,0.38,0.33,0.28,0.23,0.35,0.34,0.28,0.25,0.26,0.11,0.20,0.30,0.00,0.25,0.21
Cidade 14, 0.37,0.35,0.36,0.30,0.25,0.13,0.12,0.21,0.15,0.23,0.27,0.37,0.21,0.31,9.99,0.15,0.35,0.00,0.16,0.38,0.22,0.21,0.00,0.29,0.11,0.00,0.11,0.26,0.00,0.36,0.17,0.11,0.14,0.16,0.30,0.32,0.31,0.26,0.36,0.36,0.28,0.28,0.00,0.30,0.31,0.28,0.25,0.14,0.18,0.35,0.25,0.32,0.34,0.24,0.15,0.26,0.23,0.17,0.00,0.35,0.39,0.11,0.26,0.35,0.18,0.25,0.16,0.29,0.14,0.11,0.00,0.21,0.24,0.12,0.23,0.00,0.15,0.23,0.33,0.28,0.18,0.32,0.39,0.31,0.00,0.38,0.38,0.00,0.37,0.26,0.34,0.34,0.27,0.17,0.37,0.20,0.20,0.36,0.10,0.00,0.27
Cidade 15, 0.21,0.21,0.26,0.20,0.35,0.11,0.10,0.13,0.36,0.31,0.23,0.27,0.27,0.16,0.14,9.99,0.26,0.30,0.40,0.31,0.12,0.22,0.31,0.13,0.15,0.33,0.12,0.31,0.32,0.36,0.16,0.36,0.28,0.30,0.29,0.37,0.17,0.32,0.23,0.19,0.23,0.10,0.33,0.10,0.34,0.16,0.00,0.19,0.26,0.38,0.16,0.27,0.40,0.33,0.00,0.27,0.28,0.00,0.37,0.31,0.28,0.22,0.39,0.15,0.32,0.35,0.19,0.30,0.38,0.40,0.21,0.28,0.00,0.20,0.24,0.29,0.19,0.40,0.24,0.35,0.11,0.39,0.38,0.00,0.31,0.33,0.33,0.13,0.24,0.38,0.12,0.27,0.24,0.00,0.14,0.23,0.24,0.19,0.15,0.15,0.19
Cidade 16, 0.13,0.15,0.32,0.16,0.00,0.23,0.26,0.36,0.22,0.14,0.00,0.38,0.24,0.40,0.24,0.17,9.99,0.34,0.27,0.26,0.24,0.14,0.24,0.34,0.18,0.13,0.12,0.18,0.23,0.21,0.00,0.38,0.00,0.12,0.24,0.39,0.29,0.36,0.18,0.34,0.23,0.33,0.36,0.20,0.22,0.33,0.29,0.14,0.16,0.20,0.11,0.39,0.10,0.26,0.36,0.12,0.24,0.20,0.33,0.13,0.16,0.16,0.29,0.12,0.34,0.34,0.17,0.37,0.23,0.20,0.36,0.14,0.24,0.37,0.32,0.10,0.34,0.29,0.00,0.35,0.12,0.32,0.16,0.14,0.39,0.18,0.24,0.22,0.40,0.15,0.31,0.13,0.12,0.25,0.32,0.36,0.29,0.13,0.00,0.33,0.37
Cidade 17, 0.16,0.39,0.23,0.00,0.36,0.35,0.37,0.23,0.14,0.37,0.35,0.31,0.14,0.15,0.35,0.37,0.15,9.99,0.36,0.33,0.28,0.34,0.36,0.20,0.16,0.22,0.22,0.00,0.11,0.29,0.18,0.13,0.25,0.39,0.28,0.35,0.28,0.22,0.00,0.30,0.11,0.34,0.39,0.23,0.00,0.24,0.22,0.34,0.11,0.00,0.00,0.36,0.32,0.15,0.00,0.21,0.28,0.00,0.10,0.14,0.26,0.16,0.15,0.00,0.28,0.28,0.23,0.16,0.31,0.35,0.28,0.27,0.36,0.25,0.23,0.25,0.00,0.26,0.19,0.00,0.23,0.34,0.31,0.00,0.27,0.17,0.39,0.00,0.27,0.32,0.11,0.38,0.36,0.31,0.26,0.11,0.10,0.17,0.21,0.16,0.33
Cidade 18, 0.00,0.30,0.30,0.15,0.21,0.12,0.32,0.39,0.24,0.39,0.36,0.35,0.25,0.30,0.32,0.10,0.24,0.33,9.99,0.35,0.34,0.19,0.13,0.24,0.30,0.14,0.00,0.00,0.17,0.21,0.14,0.37,0.26,0.00,0.29,0.20,0.00,0.25,0.32,0.27,0.24,0.18,0.34,0.17,0.00,0.38,0.15,0.39,0.24,0.23,0.18,0.00,0.24,0.29,0.35,0.10,0.24,0.10,0.00,0.37,0.14,0.25,0.35,0.29,0.38,0.25,0.16,0.27,0.18,0.27,0.28,0.25,0.16,0.33,0.33,0.26,0.00,0.31,0.16,0.36,0.12,0.27,0.00,0.32,0.00,0.10,0.16,0.00,0.17,0.39,0.27,0.33,0.27,0.33,0.31,0.27,0.33,0.16,0.27,0.13,0.15
